Trade #,Type,Signal,Date/Time,Price USD,Contracts,Profit USD,Profit %,Cum. Profit USD,Cum. Profit %,Run-up USD,Run-up %,Drawdown USD,Drawdown %
406,Exit Long,Open,,,,,,,,,,,
406,Entry Long,buy,2024-10-14 12:00,63422.57,,,,,,,,,
405,Exit Short,exit_short,2024-10-11 21:00,61644.20,3922.896343,-7370733.98,-3.13,230124684.32,-3.10,3629240.76,1.54,7128910.17,3.03
405,Entry Short,enter_short,2024-10-11 00:00,59886.83,3922.896343,-7370733.98,-3.13,230124684.32,-3.10,3629240.76,1.54,7128910.17,3.03
404,Exit Short,exit_short,2024-10-07 09:00,63132.41,7801.220359,-6597294.61,-1.35,237495418.30,-2.70,19394128.07,3.98,6104784.77,1.25
404,Entry Short,enter_short,2024-10-02 00:00,62412.28,7801.220359,-6597294.61,-1.35,237495418.30,-2.70,19394128.07,3.98,6104784.77,1.25
403,Exit Long,sell,2024-09-30 09:00,64565.38,11557.410446,-3917041.48,-0.52,244092712.91,-1.58,18598705.44,2.48,6054522.36,0.81
403,Entry Long,buy,2024-09-26 21:00,64774.96,11557.410446,-3917041.48,-0.52,244092712.91,-1.58,18598705.44,2.48,6054522.36,0.81
402,Exit Long,sell,2024-09-25 18:00,63591.76,12293.309884,-15312187.70,-1.92,248009754.39,-5.82,322342.51,0.04,14530434.49,1.82
402,Entry Long,buy,2024-09-25 09:00,64709.03,12293.309884,-15312187.70,-1.92,248009754.39,-5.82,322342.51,0.04,14530434.49,1.82
401,Exit Long,sell,2024-09-24 09:00,63165.10,8288.157551,14617972.33,2.88,263321942.09,5.88,28145033.66,5.54,9523813.60,1.87
401,Entry Long,buy,2024-09-19 03:00,61276.94,8288.157551,14617972.33,2.88,263321942.09,5.88,28145033.66,5.54,9523813.60,1.87
400,Exit Long,sell,2024-09-18 18:00,59412.91,8635.320614,-11420801.82,-2.18,248703969.76,-4.39,5404627.40,1.03,10907752.30,2.08
400,Entry Long,buy,2024-09-18 00:00,60615.45,8635.320614,-11420801.82,-2.18,248703969.76,-4.39,5404627.40,1.03,10907752.30,2.08
399,Exit Long,sell,2024-09-16 21:00,58114.95,4547.849109,62532.70,0.02,260124771.58,0.02,11812423.65,4.47,11258769.41,4.27
399,Entry Long,buy,2024-09-11 03:00,57985.10,4547.849109,62532.70,0.02,260124771.58,0.02,11812423.65,4.47,11258769.41,4.27
398,Exit Short,exit_short,2024-09-10 00:00,56212.09,3590.028788,5683871.65,2.73,260062238.89,2.23,18967883.18,9.11,6991399.59,3.36
398,Entry Short,enter_short,2024-08-31 00:00,57909.45,3590.028788,5683871.65,2.73,260062238.89,2.23,18967883.18,9.11,6991399.59,3.36
397,Exit Long,sell,2024-08-27 18:00,62569.53,8199.308175,5341740.96,1.05,254378367.24,2.14,25766623.74,5.08,7570205.43,1.49
397,Entry Long,buy,2024-08-23 21:00,61793.68,8199.308175,5341740.96,1.05,254378367.24,2.14,25766623.74,5.08,7570205.43,1.49
396,Exit Long,sell,2024-08-22 09:00,59838.68,8794.293576,-14535727.37,-2.69,249036626.27,-5.51,3403212.83,0.63,14009488.45,2.59
396,Entry Long,buy,2024-08-22 03:00,61370.33,8794.293576,-14535727.37,-2.69,249036626.27,-5.51,3403212.83,0.63,14009488.45,2.59
395,Exit Long,sell,2024-08-21 00:00,58783.74,4554.885281,-7195207.07,-2.62,263572353.65,-2.66,4968038.97,1.81,6927453.88,2.52
395,Entry Long,buy,2024-08-20 09:00,60244.38,4554.885281,-7195207.07,-2.62,263572353.65,-2.66,4968038.97,1.81,6927453.88,2.52
